Name of the Place ,Ratings,Address,Type of Place,Opening Time,Closing Time,
Terraced Garden,4.4,"Sector 33B, Sector 33, Chandigarh, 160020",Garden,5:30 AM,9:00 PM,
Garden of Silence,4.5,"5, Lake Walking Way, Kishangarh, Chandigarh, Punjab 160101",Tourist Attraction,6:00 AM,10:00 PM,
Topiary Park,4.2,"Sub. City Center, Sector 35A, Chandigarh, 160035",Tourist Attraction,Open 24hrs,Open 24hrs,
"Chandigarh Botanical Garden
",4.4,"Sarangpur, Chandigarh, 160014",Tourist Attraction,Open 24hrs,Open 24hrs,
International Dolls Museum,4.1,"Bal Bhawan, Udyog Path, Sector 23B, Chandigarh, 160023",Children's Museum,10:00,4:30 PM,Monday Closed
Government Museum and Art Gallery,4.4,"#502 sector, 10C, Chandigarh, 160011",Art Museum,10:00 AM,4:30 PM,Monday Closed
Fun City,4.2,"Elante Mall Patio, Purv Marg, Phase 1, Ram Darbar, Chandigarh, 160002",Children's amusement center,11:00 AM,10:00 PM,Sunday Monday Closing Time 7:30 PM
Le Corbusier Centre,4.4,"Sector 19B Old Architect Building, Madhya Marg, Chandigarh, Punjab 160019",History Museum,10:00 AM,5:00 PM,
Nek Chandâ€™s Rock Garden of Chandigarh,4.5,"Uttar Marg, Rock Garden of Chandigarh, Sector 1, Chandigarh, 160001",Museum,9:00 AM,8:00 PM,Sunday Closing Time 3:45 PM
Leisure Valley,4.4,"10B, Sector 10B, Chandigarh, 160011",Park,Open 24hrs,Open 24hrs,
Sukhana Lake Park,4.6,"Sector 6, Chandigarh, 160019",Tourist Attraction,4:00 AM,10:00 PM,
Zakir Hussain Rose Garden,4.4,"Jan Marg, 16B, Sector 16, Chandigarh, 160016",Garden,6:00 AM,10:00 PM,
Tank Monument,4.3,"10C, Sector 10, Chandigarh, 160011",Monument,Open 24hrs,Open 24hrs,
Open Hand Monument,4.5,"31, Uttar Marg, Capitol Complex, Sector 1, Chandigarh, 160001",Monument,9:00 AM,8:00 PM,
Bougainvillea Park,4.4,"3B, Sector 3, Chandigarh, 160001",Park,Open 24hrs,Open 24hrs,
Dhanas Lake,4.5,"Dhanas Main Rd, Dhanas, Chandigarh, 160014",Tourist Attraction,Open 24hrs,Open 24hrs,
Patiala Ki Rao Reserved Forest,4.1,"3288, HBC, Dhanas, Chandigarh, 160014",Nature Preserve,10:00 AM,8:00 PM,
Sukhna Wildlife Sanctuary,4.4,"North-East Of Sukhna Lake, Chandigarh, India",Nature Preserve,9:00 AM,9:00 PM,
Kansal Forest Rest House,4.5,"Unnamed Rd, Chandigarh, Kansal, 133301",Tourist Attraction,9:00 AM,5:00 PM,
Chandigarh Architecture Museum,4.5,"Museum and Art Gallery, Sector 10, Chandigarh, 160011",Museum,10:00 AM,8:00 PM,
"
Hibiscus Garden
",4.4,"Hibiscus Garden Rd, 36A, Sector 36, Chandigarh, 160036",Garden,Open 24hrs,Open 24hrs,
"Butterfly Park
",4.1,"Sector 26, Chandigarh, 160019",Park,8:30 AM,5:00 PM,
"Cactus Garden
",4.4,"Panchkula Urban Estate, Sector 5, Panchkula, Haryana 134108",Garden,8:00 AM,6:00 PM,
"M.C. Zoological Park, Chhat Bir Zoo, Zirakpur
",4.3,"Chattbir Zoo Rd, Chhat, Punjab 140603",Zoo,9:30 AM,4:30 PM,
"Fateh Burj, Chappar Chiri",4.4,"Chappar Chiri, Sector 93, Sahibzada Ajit Singh Nagar, Punjab 140307",Tourist Attraction,10:00 AM,7:00 PM,
"Eiffel Tower Replica
",4.1,"Leisure Valley, 10C, Sector 10C, Chandigarh, 160011",Garden,Open 24hrs,Open 24hrs,
"Children Traffic Park
",4.1,"Udyan Path, 23A, Sector 23, Chandigarh, 160023",Park,9:00 AM,9:00 PM,
Rose Garden,4.4,"Phase 3B-1, Sector 60, Sahibzada Ajit Singh Nagar, Chandigarh 160059",Park,6:00 AM,8:00 PM,
"Shanti Kunj Park
",4.4,"16C, Sector 16, Chandigarh, 160015",Park,Open 24hrs,Open 24hrs,
"Yadavindra Gardens, Pinjore
",4.3,"Ambala, Kalka - Shimla Rd, Pinjore, Haryana 134102",Garden,7:00 AM,9:30 PM,
"Peacock Park
",4.2,"39A, Sector 39, Chandigarh, 160036",Park,8:00 AM,5:00 PM,
"Bird Sanctuary
",4.2,"279, Ward Number IV, Himalaya Marg, Sector 21A, Sector 21B, Sector 21, Chandigarh 160022",National Park,5:00 AM,8:15 PM,
